recipe_slug	score_bound
falafel	0.749007
spamburger	0.749007
bacon-fried-rice	0.749007
chicken-fingers	0.749007
apple-crisp	0.749007
cranberry-apple-crisp	0.749007
bacon-chocolate-chip-cookies	0.749007
sujebi	0.749007
pasta-primavera	0.749007
ramen	0.749007
brownies	0.749007
bacon-wrapped-scallops	0.749007
bacon-egg-muffins	0.749007
breakfast-burritos	0.749007
bolognese-sauce	0.749007
croissants	0.749007
bacon-souffle	0.749007
souffle	0.749007
chocolate-souffle	0.749007
butter-croissants	0.749007
pickled-green-beans	0.749007
fried-oysters	0.749007
peanut-butter-brownies	0.749007
almond-chip-cookies	0.749007
guacamole	0.749007
brioche-bread	0.749007
brioche-bread-with-chocolate	0.749007
asparagus-quiche	0.749007
asparagus-burger	0.749007
ma-la-chicken	0.749007
cold-noodles-with-tomatoes	0.749007
tamales	0.749007
enchiladas	0.749007
tacos	0.749007
burritos	0.749007
peanut-butter-cupcakes	0.749007
pickled-asparagus	0.749007
chocolate-peanut-butter-cake	0.749007
udon	0.749007
vegetable-lasagna	0.749007
maple-bacon-donuts	0.749007
maple-bacon-pancakes	0.749007
spinach-and-ricotta-stuffed-shells	0.749007
quesadillas	0.749007
pico-de-gallo	0.749007
nachos	0.749007
cold-soba-noodles-with-tomato-and-cucumber	0.749007
fajitas	0.749007
loaded-nachos	0.749007
lasagna	0.749007
chicken-nuggets	0.749007
pain-au-chocolat	0.749007
nacho-dip	0.749007
nacho-salad	0.749007
nacho-casserole	0.749007
nacho-fries	0.749007
tempura-udon	0.749007
peach-crisp	0.749007
apple-pie	0.749007
blueberry-crisp	0.749007
berry-crumble	0.749007
strawberry-rhubarb-crisp	0.749007
peach-cobbler	0.749007
cranberry-sauce	0.749007
cherry-cobbler	0.749007
apple-crumble	0.749007
chocolate-croissants	0.749007
french-toast	0.749007
chocolate-babka	0.749007
cinnamon-babka	0.749007
blueberry-crumble	0.749007
spam-musubi	0.749007
taco-salad	0.749007
chiles-rellenos	0.749007
almond-croissants	0.749007
cranberry-relish	0.749007
ma-la-beef	0.749007
chocolate-cake	0.749007
spinach-quiche	0.749007
mushroom-quiche	0.749007
quiche-lorraine	0.749007
croissant-aux-amandes	0.749007
danishes	0.749007
spinach-and-feta-quiche	0.749007
cold-sesame-noodles	0.749007
soba-noodle-salad-with-peanut-dressing	0.749007
dan-dan-noodles	0.749007
vanilla-souffle	0.749007
bacon-wrapped-dates	0.749007
cherry-pie	0.749007
berry-crisp	0.749007
bacon-and-egg-breakfast-sandwich	0.749007
bacon-wrapped-shrimp-skewers	0.749007
bacon-wrapped-chicken	0.749007
bacon-wrapped-asparagus	0.749007
bacon-mac-and-cheese	0.749007
chicken-alfredo-lasagna	0.749007
classic-beef-lasagna	0.749007
vegetarian-mushroom-lasagna	0.749007
spinach-and-ricotta-lasagna	0.749007
